trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0,initdum_2.0,initdum_3.0
0.0117668,-0.0406455,-0.0583609,-0.000412264,-0,0,0,0,0,0,0,0,0.00013845758,0.0016520567,0.0034059946,1.6996161e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.0150618,0.022835,0,-0,0,-0.0117668,0.0557073,0.0811959,0.000412264,0,0,0,0.00022685782,0.00052143723,0,0,0,0.00013845758,0.0031033033,0.0065927742,1.6996161e-07,0,0,0,0,0,0,0,0,1,0
0,0.00113506,0.0136703,0.000551621,-0,0,0,-0.01392674,-0.0091647,0.000551621,0,0,0,1.2883612e-06,0.0001868771,3.0428573e-07,0,0,0,0.00019395409,8.3991726e-05,3.0428573e-07,0,0,0,0,0,0,0,0,0,1
-0.0103662,0.0717921,0.0228682,0.000163864,-0,-0.00040708,-0.0103662,0.07065704,0.0091979,-0.000387757,0,-0.00040708,0.0001074581,0.0051541056,0.00052295457,2.685141e-08,0,1.6571413e-07,0.0001074581,0.0049924173,8.4601364e-05,1.5035549e-07,0,1.6571413e-07,-0.0079517344,0.013342712,0.077745235,-0.1807746,-0.028746223,0,0,0
-0.0206801,0.0302698,0.0369266,0.000292924,-0.000518039,-0.000304047,-0.0103139,-0.0415223,0.0140584,0.00012906,-0.000518039,0.000103033,0.00042766654,0.00091626079,0.0013635738,8.580447e-08,2.6836441e-07,9.2444578e-08,0.00010637653,0.0017241014,0.00019763861,1.6656484e-08,2.6836441e-07,1.0615799e-08,-0.0007276877,0.011819302,0.097485874,-0.10965811,-0.022808785,0,0,0
-0.0433127,0.0303061,0.079605,0.000603739,-0.000443845,-0.00040708,-0.0226326,3.63e-05,0.0426784,0.000310815,7.4194e-05,-0.000103033,0.00187599,0.0009184597,0.006336956,3.6450078e-07,1.9699838e-07,1.6571413e-07,0.00051223458,1.31769e-09,0.0018214458,9.6605964e-08,5.5047496e-09,1.0615799e-08,-0.086132236,0.079035383,0.13157124,0.043988833,0.0021881964,0,0,0
-0.03003,0.056897,0.100167,0.000292924,-0.000518039,-0.00040708,0.0132827,0.0265909,0.020562,-0.000310815,-7.4194e-05,0,0.0009018009,0.0032372686,0.010033428,8.580447e-08,2.6836441e-07,1.6571413e-07,0.00017643012,0.00070707596,0.00042279584,9.6605964e-08,5.5047496e-09,0,-0.07893207,0.063647769,-0.0044571481,-0.020011824,-0.0028181168,0,0,0
-0.0352854,0.0376856,0.120132,0.000602981,-0.000710949,-0.00040708,-0.0052554,-0.0192114,0.019965,0.000310057,-0.00019291,0,0.0012450595,0.0014202044,0.014431697,3.6358609e-07,5.0544848e-07,1.6571413e-07,2.7619229e-05,0.00036907789,0.00039860122,9.6135343e-08,3.7214268e-08,0,-0.017702798,-0.0048281413,-0.03685752,-0.12980388,0.0007652929,0,0,0
-0.027163,0.0307652,0.136337,0.000660524,-0.000826925,-0.000408504,0.0081224,-0.0069204,0.016205,5.7543e-05,-0.000115976,-1.424e-06,0.00073782857,0.00094649753,0.018587778,4.3629195e-07,6.8380496e-07,1.6687552e-07,6.5973382e-05,4.7891936e-05,0.00026260203,3.3111968e-09,1.3450433e-08,2.027776e-12,-0.014867446,0.027784746,0.019901486,-0.073760414,-0.014482753,0,0,0
-0.0110421,0.0470123,0.167773,0.000540122,-0.000919564,-0.000463547,0.0161209,0.0162471,0.031436,-0.000120402,-9.2639e-05,-5.5043e-05,0.00012192797,0.0022101564,0.02814778,2.9173177e-07,8.4559795e-07,2.1487582e-07,0.00025988342,0.00026396826,0.0009882221,1.4496642e-08,8.5819843e-09,3.0297318e-09,-0.045930921,0.024831921,0.078513591,0.10007418,0.028199691,0,0,0
-1.89341e-05,0.0603762,0.144927,0.000668147,-0.000919564,-0.000336439,0.011023166,0.0133639,-0.022846,0.000128025,0,0.000127108,3.5850014e-10,0.0036452855,0.021003835,4.4642041e-07,8.4559795e-07,1.131912e-07,0.00012151019,0.00017859382,0.00052193972,1.6390401e-08,0,1.6156444e-08,-0.0002226212,0.0242433,-0.066593937,-0.0046347221,0.010016105,0,0,0
-0.000441756,0.0239792,0.172378,0.000836244,-0.00159423,-0.000338298,-0.0004228219,-0.036397,0.027451,0.000168097,-0.000674666,-1.859e-06,1.9514836e-07,0.00057500203,0.029714175,6.9930403e-07,2.5415693e-06,1.1444554e-07,1.7877836e-07,0.0013247416,0.0007535574,2.8256601e-08,4.5517421e-07,3.455881e-12,0.072900834,-0.10344344,0.016619584,-0.04168507,-0.0053178711,0,0,0
0.0487015,0.0916001,0.175449,0.00063461,-0.00153349,-0.000142959,0.049143256,0.0676209,0.003071,-0.000201634,6.074e-05,0.000195339,0.0023718361,0.0083905783,0.030782352,4.0272985e-07,2.3515916e-06,2.0437276e-08,0.0024150596,0.0045725861,9.431041e-06,4.065627e-08,3.6893476e-09,3.8157325e-08,-0.0071410711,-0.012122441,0.070061907,-0.089368599,0.040472739,0,0,0
0.0335469,0.000171176,0.196461,0.00177691,-0.00159423,-0.000161302,-0.0151546,-0.091428924,0.021012,0.0011423,-6.074e-05,-1.8343e-05,0.0011253945,2.9301223e-08,0.038596925,3.1574091e-06,2.5415693e-06,2.6018335e-08,0.0002296619,0.0083592481,0.00044150414,1.3048493e-06,3.6893476e-09,3.3646565e-10,0.0021716971,-0.014671092,0.082998106,0.13233995,-0.0063983797,0,0,0
0.0271864,0.0824132,0.202958,0.00142296,-0.00118546,-0.00018744,-0.0063605,0.082242024,0.006497,-0.00035395,0.00040877,-2.6138e-05,0.00073910034,0.0067919355,0.04119195,2.0248152e-06,1.4053154e-06,3.5133754e-08,4.045596e-05,0.0067637505,4.2211009e-05,1.252806e-07,1.6709291e-07,6.8319504e-10,-0.11037924,0.04780976,-0.012354252,0.036265792,0.016613393,0,0,0
0.0441629,0.0762536,0.230966,0.00125764,-0.00144694,-0.000283583,0.0169765,-0.0061596,0.028008,-0.00016532,-0.00026148,-9.6143e-05,0.0019503617,0.0058146115,0.053345293,1.5816584e-06,2.0936354e-06,8.0419318e-08,0.00028820155,3.7940672e-05,0.00078444806,2.7330702e-08,6.837179e-08,9.2434764e-09,-0.022902219,-0.0055104691,-0.13499058,-0.0061217913,0.003483347,0,0,0
0.0429066,0.0440075,0.255153,0.00119693,-0.00140659,-0.000287245,-0.0012563,-0.0322461,0.024187,-6.071e-05,4.035e-05,-3.662e-06,0.0018409763,0.0019366601,0.065103053,1.4326414e-06,1.9784954e-06,8.250969e-08,1.5782897e-06,0.001039811,0.00058501097,3.6857041e-09,1.6281225e-09,1.3410244e-11,0.027368389,-0.039175822,-0.11114056,-0.030122715,0.014651878,0,0,0
0.0396886,0.0814953,0.248393,0.000975124,-0.00159423,-0.000567672,-0.003218,0.0374878,-0.00676,-0.000221806,-0.00018764,-0.000280427,0.001575185,0.0066414839,0.061699082,9.5086682e-07,2.5415693e-06,3.222515e-07,1.0355524e-05,0.0014053351,4.56976e-05,4.9197902e-08,3.520877e-08,7.8639302e-08,0.069339797,-0.082873339,-0.02506028,-0.0091272504,0.029194073,0,0,0
0.0228045,0.0393824,0.255056,0.00175173,-0.0010119,-0.000315475,-0.0168841,-0.0421129,0.006663,0.000776606,0.00058233,0.000252197,0.00052004522,0.0015509734,0.065053563,3.068558e-06,1.0239416e-06,9.9524476e-08,0.00028507283,0.0017734963,4.4395569e-05,6.0311688e-07,3.3910823e-07,6.3603327e-08,0.031693893,0.0001829528,0.036493475,0.11402343,0.024691799,0,0,0
0.0227034,0.0863376,0.250998,0.00134916,-0.000849801,-0.000410178,-0.0001011,0.0469552,-0.004058,-0.00040257,0.000162099,-9.4703e-05,0.00051544437,0.0074541812,0.062999996,1.8202327e-06,7.2216174e-07,1.6824599e-07,1.022121e-08,0.0022047908,1.6467364e-05,1.620626e-07,2.6276086e-08,8.9686582e-09,-0.035701358,0.02260373,0.033449607,0.13659223,0.029550376,0,0,0
0.016439,0.0569702,0.242593,0.00187513,-0.00105792,-0.000513221,-0.0062644,-0.0293674,-0.008405,0.00052597,-0.000208119,-0.000103043,0.00027024072,0.0032456037,0.058851364,3.5161125e-06,1.1191947e-06,2.6339579e-07,3.9242707e-05,0.00086244418,7.0644025e-05,2.7664444e-07,4.3313518e-08,1.061786e-08,0.0098052248,-0.031630663,-0.087887182,0.048437898,0.014753046,0,0,0
0.018543,0.0464912,0.231777,0.00202868,-0.000951688,-0.000521726,0.002104,-0.010479,-0.010816,0.00015355,0.000106232,-8.505e-06,0.00034384285,0.0021614317,0.053720578,4.1155425e-06,9.0571005e-07,2.7219802e-07,4.426816e-06,0.00010980944,0.00011698586,2.3577603e-08,1.1285238e-08,7.2335025e-11,0.092669482,-0.048415071,-0.038294832,0.012975765,-0.01609227,0,0,0
0.00901925,0.0959912,0.231214,0.00202868,-0.000669732,-0.000351127,-0.00952375,0.0495,-0.000563,0,0.000281956,0.000170599,8.1346871e-05,0.0092143105,0.053459914,4.1155425e-06,4.4854095e-07,1.2329017e-07,9.0701814e-05,0.00245025,3.16969e-07,0,7.9499186e-08,2.9104019e-08,0.030044951,-0.0035031668,0.015536319,-0.084021106,-0.0069167669,0,0,0
0.00772244,0.0764436,0.24903,0.00202868,-0.00117459,-0.000275369,-0.00129681,-0.0195476,0.017816,0,-0.000504858,7.5758e-05,5.963608e-05,0.005843624,0.062015941,4.1155425e-06,1.3796617e-06,7.5828086e-08,1.6817162e-06,0.00038210867,0.00031740986,0,2.548816e-07,5.7392746e-09,-0.049039296,0.03659829,0.067818706,0.093989588,0.013080322,0,0,0
-0.00238764,0.0346261,0.254957,0.00244879,-0.0011746,-0.000506466,-0.01011008,-0.0418175,0.005927,0.00042011,-9.9999999e-09,-0.000231097,5.7008248e-06,0.0011989668,0.065003072,5.9965725e-06,1.3796852e-06,2.5650781e-07,0.00010221372,0.0017487033,3.5129329e-05,1.7649241e-07,9.9999998e-17,5.3405823e-08,-0.011501292,0.031340276,-0.064331864,0.13598682,0.0046211811,0,0,0
-0.0143763,0.0839185,0.261665,0.001466,-0.000706587,-0.000773385,-0.01198866,0.0492924,0.006708,-0.00098279,0.000468013,-0.000266919,0.000206678,0.0070423146,0.068468572,2.149156e-06,4.9926519e-07,5.9812436e-07,0.00014372797,0.0024297407,4.4997264e-05,9.6587618e-07,2.1903617e-07,7.1245753e-08,0.046291356,-0.041233509,-0.071693613,-0.019588937,0.0075532395,0,0,0
-0.0220871,0.0694494,0.264678,0.00180939,-0.00108876,-0.000821693,-0.0077108,-0.0144691,0.003013,0.00034339,-0.000382173,-4.8308e-05,0.00048783999,0.0048232192,0.070054444,3.2738922e-06,1.1853983e-06,6.7517939e-07,5.9456437e-05,0.00020935485,9.078169e-06,1.1791669e-07,1.460562e-07,2.3336629e-09,0.10278812,-0.14952093,-0.00651693,0.020955569,-0.031380046,0,0,0
-0.0181232,0.0411509,0.250345,0.00212933,-0.0011746,-0.000779769,0.0039639,-0.0282985,-0.014333,0.00031994,-8.584e-05,4.1924e-05,0.00032845038,0.0016933966,0.062672619,4.5340462e-06,1.3796852e-06,6.0803969e-07,1.5712503e-05,0.0008008051,0.00020543489,1.023616e-07,7.3685056e-09,1.7576218e-09,0.06767488,-0.011646823,0.0005215087,-0.086554185,-0.053538228,0,0,0
