trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0
0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-8.11938e-06,7.34496e-06,0.0421614,9.55565e-05,0.000105632,0,-8.11938e-06,7.34496e-06,0.0421614,9.55565e-05,0.000105632,0,6.5924332e-11,5.3948437e-11,0.0017775836,9.1310447e-09,1.1158119e-08,0,6.5924332e-11,5.3948437e-11,0.0017775836,9.1310447e-09,1.1158119e-08,0,-0.057940293,0.36295534,0.090097126,-0.27362408,0.20467545,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0
2.66282e-05,0.0795497,0.0509691,-0.000292095,-3.30872e-24,0.000101765,3.474758e-05,0.079542355,0.0088077,-0.0003876515,-0.000105632,0.000101765,7.0906104e-10,0.0063281548,0.0025978492,8.5319489e-08,1.0947628e-47,1.0356115e-08,1.2073943e-09,0.0063269862,7.7575579e-05,1.5027369e-07,1.1158119e-08,1.0356115e-08,-0.080299118,0.23250202,0.09883004,-0.11084995,0.016079613,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0
3.0665e-05,0.0198603,0.0833671,9.82091e-05,-0,0.000184583,4.0368e-06,-0.0596894,0.032398,0.0003903041,3.30872e-24,8.2818e-05,9.4034222e-10,0.00039443152,0.0069500734,9.6450273e-09,0,3.4070884e-08,1.6295754e-11,0.0035628245,0.0010496304,1.5233729e-07,1.0947628e-47,6.8588211e-09,0.07249347,0.065532915,0.12975194,0.023617742,-0.055958836,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0
2.06987e-05,0.100906,0.0834969,-0.000560797,-0,6.07118e-05,-9.9663e-06,0.0810457,0.0001298,-0.0006590061,0,-0.0001238712,4.2843618e-10,0.010182021,0.0069717323,3.1449328e-07,0,3.6859227e-09,9.9327136e-11,0.0065684055,1.684804e-08,4.3428904e-07,0,1.5344074e-08,0.084035679,0.068663266,0.041927572,0.041940902,-0.099058675,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0
-2.03784e-05,0.0675493,0.083371,-0.000224373,-0,-5.70269e-05,-4.10771e-05,-0.0333567,-0.0001259,0.000336424,0,-0.0001177387,4.1527919e-10,0.0045629079,0.0069507236,5.0343243e-08,0,3.2520673e-09,1.6873281e-09,0.0011126694,1.585081e-08,1.1318111e-07,0,1.3862401e-08,0.19797118,0.11049277,-0.010167747,0.086365246,-0.02040239,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0
1.80293e-05,0.0737636,0.0833808,-0.000323769,8.408e-05,6.23802e-05,3.84077e-05,0.0062143,9.8e-06,-9.9396e-05,8.408e-05,0.0001194071,3.2505566e-10,0.0054410687,0.0069523578,1.0482637e-07,7.0694464e-09,3.8912894e-09,1.4751514e-09,3.8617524e-05,9.604e-11,9.8795648e-09,7.0694464e-09,1.4258056e-08,0.038781637,0.11187598,-0.082068863,0.19089753,-0.069381637,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0
-4.93164e-05,0.121254,0.0833383,-0.000364868,8.9714e-05,-8.00692e-05,-6.73457e-05,0.0474904,-4.25e-05,-4.1099e-05,5.634e-06,-0.0001424494,2.4321073e-09,0.014702533,0.0069452722,1.3312866e-07,8.0486018e-09,6.4110768e-09,4.5354433e-09,0.0022553381,1.80625e-09,1.6891278e-09,3.1741956e-11,2.0291832e-08,-0.071048603,0.1329451,-0.012932932,0.17659626,-0.027468696,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0,0
-8.87227e-05,0.0975382,0.0831296,9.46987e-05,8.01703e-05,-0.000172484,-3.94063e-05,-0.0237158,-0.0002087,0.0004595667,-9.5437e-06,-9.24148e-05,7.8717175e-09,0.0095137005,0.0069105304,8.9678438e-09,6.427277e-09,2.975073e-08,1.5528565e-09,0.00056243917,4.355569e-08,2.1120155e-07,9.108221e-11,8.5404953e-09,0.0075560055,0.066820718,0.049339352,0.13951742,-0.1377505,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0,0
0.00626615,0.083462,0.0902715,0.000352905,0.000324739,-0.000381606,0.0063548727,-0.0140762,0.0071419,0.0002582063,0.0002445687,-0.000209122,3.9264636e-05,0.0069659054,0.0081489437,1.2454194e-07,1.0545542e-07,1.4562314e-07,4.0384407e-05,0.00019813941,5.1006736e-05,6.6670493e-08,5.9813849e-08,4.3732011e-08,0.0086374205,0.045311426,0.068701189,0.16028116,-0.1737145,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0,0
