trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,initdum_1.0,initdum_2.0
-6.88049e-06,-0.0282094,-0.0124213,0.000101233,-0.00017029,0,0,0,0,0,0,0,4.7341143e-11,0.00079577025,0.00015428869,1.024812e-08,2.8998684e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.0142294,0.0295102,0.0153543,-0.000231973,-0,0,-0.01422252,0.0577196,0.0277756,-0.000333206,0.00017029,0,0.00020247582,0.0008708519,0.00023575453,5.3811473e-08,0,0,0.00020228006,0.0033315522,0.00077148396,1.1102624e-07,2.8998684e-08,0,0,0,0,0,0,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0,0,1
-0.00900503,0.0184514,0.100099,0.00012249,-0,-0.000269833,0.00522437,-0.0110588,0.0847447,0.000354463,0,-0.000269833,8.1090565e-05,0.00034045416,0.01001981,1.50038e-08,0,7.2809848e-08,2.7294042e-05,0.00012229706,0.0071816642,1.2564402e-07,0,7.2809848e-08,-0.036288489,-0.060068819,0.22095495,0.078418916,0.096207514,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0,0,0
-9.66491e-06,0.0295436,0.0257707,3.70678e-06,0.00012611,0,0.0089953651,0.0110922,-0.0743283,-0.00011878322,0.00012611,0.000269833,9.3410485e-11,0.0008728243,0.00066412898,1.3740218e-11,1.5903732e-08,0,8.0916593e-05,0.0001230369,0.0055246962,1.4109453e-08,1.5903732e-08,7.2809848e-08,-0.09576439,-0.065733028,-0.053514224,0.082510136,-0.075986122,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0,0,0
-0.00771347,0.0451841,0.0428831,-0.000526022,-0.000441432,0,-0.0077038051,0.0156405,0.0171124,-0.00052972878,-0.000567542,0,5.9497619e-05,0.0020416029,0.0018389603,2.7669914e-07,1.9486221e-07,0,5.9348613e-05,0.00024462524,0.00029283423,2.8061258e-07,3.2210392e-07,0,0.0062078853,-0.053214507,0.060435547,0.041880802,0.047519987,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0,0,0
-0.0192252,0.0102585,0.0495367,0.000794863,-0.000441432,0,-0.01151173,-0.0349256,0.0066536,0.001320885,0,0,0.00036960832,0.00010523682,0.0024538846,6.3180719e-07,1.9486221e-07,0,0.00013251993,0.0012197975,4.4270393e-05,1.7447372e-06,0,0,-0.0003442155,-0.057741979,0.037566304,0.24530082,-0.17719127,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0,0,0
-0.00359093,0.0868242,0.0313885,-0.000429747,-0.000441432,0,0.01563427,0.0765657,-0.0181482,-0.00122461,0,0,1.2894778e-05,0.0075384417,0.00098523793,1.8468248e-07,1.9486221e-07,0,0.0002444304,0.0058623064,0.00032935716,1.4996697e-06,0,0,-0.05917924,0.096058545,0.045138711,0.093495254,0.070636853,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0,0,0
-0.0122381,0.0551541,0.0903334,0.000657601,-0.000257774,-0.000190119,-0.00864717,-0.0316701,0.0589449,0.001087348,0.000183658,-0.000190119,0.00014977109,0.0030419747,0.0081601232,4.3243908e-07,6.6447435e-08,3.6145234e-08,7.4773549e-05,0.0010029952,0.0034745012,1.1823257e-06,3.3730261e-08,3.6145234e-08,0.1687798,-0.0079651581,-0.0028378798,0.0059997531,0.017849386,123.50128,0.3363319,0.3363319,20.243445,-0.97995338,-0.97995338,75.304302,1.8664935,1.8664935,5.8913982,-2.4948258,-2.4948258,23.961722,3.0341856,3.0341856,0,0
-0.00752509,0.0551595,0.0590594,0.000657601,5.32105e-05,6.61745e-24,0.00471301,5.4e-06,-0.031274,0,0.0003109845,0.000190119,5.662698e-05,0.0030425704,0.0034880127,4.3243908e-07,2.8313573e-09,4.3790645e-47,2.2212463e-05,2.916e-11,0.00097806308,0,9.6711359e-08,3.6145234e-08,-0.054599461,0.078300516,-0.048798559,0.12710097,-0.036084287,112.09018,7.6903848,8.0267167,35.25165,-15.006936,-15.986889,64.587736,20.905128,22.771621,52.54876,-21.960542,-24.455368,34.986759,20.722606,23.756792,0,0
-0.00842593,0.090307,0.0592634,1.6726e-05,-5.91061e-06,-0.000633122,-0.00090084,0.0351475,0.000204,-0.000640875,-5.912111e-05,-0.000633122,7.0996296e-05,0.0081553542,0.0035121506,2.7975908e-10,3.4935311e-11,4.0084347e-07,8.1151271e-07,0.0012353468,4.1616e-08,4.1072077e-07,3.4953056e-09,4.0084347e-07,0.11555522,0.038767784,0.061386452,0.0031385567,0.041612805,82.014394,27.619502,35.309886,62.692711,-30.544549,-45.551485,40.67016,22.101022,43.00615,65.880379,-6.971502,-28.932044,60.789364,-2.9535262,17.76908,0,0
-0.0194491,0.0311356,0.0589847,0.00113627,5.32105e-05,-0.000390463,-0.01102317,-0.0591714,-0.0002787,0.001119544,5.912111e-05,0.000242659,0.00037826749,0.00096942559,0.0034791948,1.2911095e-06,2.8313573e-09,1.5246135e-07,0.00012151028,0.0035012546,7.767369e-08,1.2533788e-06,3.4953056e-09,5.888339e-08,0.0028337418,0.025741614,-0.038789663,0.13877273,-0.13893151,41.116199,40.025651,67.645153,70.754674,-9.8338796,-40.378429,50.040237,-12.263298,9.8377235,44.283805,20.620719,13.649217,75.212969,-6.6208587,-9.5743849,0,0
-0.0164186,0.0938466,0.0784256,0.000210484,0.000208206,-0.000417961,0.0030305,0.062711,0.0194409,-0.000925786,0.0001549955,-2.7498e-05,0.00026957043,0.0088071843,0.0061505747,4.4303514e-08,4.3349738e-08,1.746914e-07,9.1839303e-06,0.0039326695,0.00037794859,8.5707972e-07,2.4023605e-08,7.5614e-10,-0.020431629,0.11909787,0.06783652,0.0058680184,0.066913513,7.7880224,33.145954,73.171605,43.553022,26.702826,16.868947,61.883415,-12.953254,-25.216553,52.388099,-9.2055843,11.415135,57.44513,18.802733,12.181875,0,0
-0.00703232,0.0437808,0.106941,0.000474668,0.00047768,-0.000633122,0.00938628,-0.0500658,0.0285154,0.000264184,0.000269474,-0.000215161,4.9453525e-05,0.0019167584,0.011436377,2.2530971e-07,2.2817818e-07,4.0084347e-07,8.8102252e-05,0.0025065843,0.00081312804,6.9793186e-08,7.2616237e-08,4.6294256e-08,-0.0082011067,-0.033350595,-0.05965986,0.02138513,0.0030224356,-6.9778604,14.760407,47.906361,9.2926121,34.242936,60.945762,35.76762,26.071087,13.117833,59.343279,-7.0106809,-16.216265,69.107106,-11.654499,7.1482344,0,0
0.00283129,0.0437101,0.0940294,5.44511e-05,0.00052365,-0.000633122,0.00986361,-7.07e-05,-0.0129116,-0.0004202169,4.597e-05,0,8.0162031e-06,0.0019105728,0.0088415281,2.9649223e-09,2.7420932e-07,4.0084347e-07,9.7290802e-05,4.99849e-09,0.00016670941,1.7658224e-07,2.1132409e-09,0,-0.069564782,0.061518069,0.03468878,-0.14429411,-0.013973919,-7.2372391,0.25937865,15.019786,-5.3904359,14.683048,48.925984,4.3240022,31.443618,57.514705,28.924291,30.418988,23.408307,63.44184,5.6652664,-5.9892325,0,0
-0.00700989,0.0437739,0.164597,0.000520203,0.000734485,-0.000633122,-0.00984118,6.38e-05,0.0705676,0.0004657519,0.000210835,0,4.9138558e-05,0.0019161543,0.027092172,2.7061116e-07,5.3946822e-07,4.0084347e-07,9.6848824e-05,4.07044e-09,0.0049797862,2.1692483e-07,4.4451397e-08,0,-0.057927582,-0.069080503,-0.023094684,0.050831048,0.012790204,-3.5165271,-3.720712,-3.4613334,-5.3917047,0.001268743,14.684317,-5.864559,10.188561,41.632179,4.2274712,24.69682,55.115808,31.694197,31.747643,37.412909,0,0
-0.0248699,0.0308852,0.13821,5.44511e-05,0.000969902,-0.000633122,-0.01786001,-0.0128887,-0.026387,-0.0004657519,0.000235417,0,0.00061851193,0.00095389558,0.019102004,2.9649223e-09,9.4070989e-07,4.0084347e-07,0.00031897996,0.00016611859,0.00069627377,2.1692483e-07,5.5421164e-08,0,-0.085089278,0.014799099,0.10621469,-0.11204777,0.040134867,-1.0602419,-2.4562852,-6.1769972,-2.2882157,-3.103489,-3.1022203,-4.0480049,-1.8165541,8.3720071,-2.1326453,6.3601165,31.056937,8.8451177,22.849079,54.596722,0,0
-0.0193384,0.0437057,0.188999,5.44511e-05,0.000366975,-0.000748794,0.0055315,0.0128205,0.050789,0,-0.000602927,-0.000115672,0.00037397371,0.0019101882,0.035720622,2.9649223e-09,1.3467065e-07,5.6069245e-07,3.0597492e-05,0.00016436522,0.0025795225,0,3.6352097e-07,1.3380012e-08,0.020622803,-0.11616846,-0.13349889,-0.12999455,0.089368421,-0.18769801,-0.8725439,-3.3288291,-0.51629968,-1.771916,-4.875405,-1.1547843,-2.8932206,-4.7097747,-1.1567913,-0.97585403,5.3842624,1.0423718,7.8027459,30.651825,0,0
-0.024786,-0.00473903,0.121109,0.000438934,0.000740294,-0.000540006,-0.0054476,-0.04844473,-0.06789,0.0003844829,0.000373319,0.000208788,0.0006143458,2.2458405e-05,0.01466739,1.9266306e-07,5.4803521e-07,2.9160648e-07,2.9676346e-05,0.0023468919,0.0046090521,1.478271e-07,1.3936708e-07,4.3592429e-08,-0.08610963,0.022493166,0.021726268,-0.14484231,-0.04853265,-0.0054756973,-0.18222231,-1.0547662,-0.017473317,-0.49882636,-2.2707424,-0.044707646,-1.1100766,-4.0032972,-0.055500918,-1.1012903,-2.0771444,0.0074774136,1.0348944,8.8376403,0,0
-0.0140989,0.0890186,0.182576,-0.000430519,0.000319367,-0.000633122,0.0106871,0.09375763,0.061467,-0.000869453,-0.000420927,-9.3116e-05,0.00019877898,0.0079243111,0.033333996,1.8534661e-07,1.0199528e-07,4.0084347e-07,0.00011421411,0.0087904932,0.0037781921,7.5594852e-07,1.7717954e-07,8.6705895e-09,0.049495695,-0.092995011,-0.066883384,-0.21492466,0.049917142,0,-0.0054756973,-0.18769801,0,-0.017473317,-0.51629968,0,-0.044707646,-1.1547843,0,-0.055500918,-1.1567913,0,0.0074774136,1.0423718,0,0
-0.0100878,-0.0302483,0.069974,0.000564342,0.000391667,-0.000633121,0.0040111,-0.1192669,-0.112602,0.000994861,7.23e-05,1.0000001e-09,0.00010176371,0.00091495965,0.0048963607,3.1848189e-07,1.5340304e-07,4.008422e-07,1.6088923e-05,0.014224593,0.01267921,9.8974841e-07,5.22729e-09,1.0000002e-18,-0.09857874,-0.062135802,-0.025080422,0.065748529,-0.092537443,0.3363319,0,-0.0054756973,-0.97995338,0,-0.017473317,1.8664935,0,-0.044707646,-2.4948258,0,-0.055500918,3.0341856,0,0.0074774136,0,0
