trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14
-0.000456334,-0.106089,-0.184584,0.00174658,-0.00126762,0.00106804,0,0,0,0,0,0,2.0824072e-07,0.011254876,0.034071253,3.0505417e-06,1.6068605e-06,1.1407094e-06,0,0,0,0,0,0,-0.39172001,-0.077520746,-0.017956912,0.031133162,-0.022779621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000462714,-0.140849,-0.19822,0.00200866,-0.00126762,0.00112596,-6.38e-06,-0.03476,-0.013636,0.00026208,0,5.792e-05,2.1410425e-07,0.019838441,0.039291168,4.034715e-06,1.6068605e-06,1.2677859e-06,4.07044e-11,0.0012082576,0.0001859405,6.8685926e-08,0,3.3547264e-09,-0.15477144,-0.018247689,-0.0076663843,0.024485618,-0.020853028,0.3363319,0,0,-0.97995338,0,0,1.8664935,0,0,-2.4948258,0,0,3.0341856,0,0
-0.000463966,-0.109101,-0.18084,0.00128533,-0.00126762,0.001097,-1.252e-06,0.031748,0.01738,-0.00072333,0,-2.896e-05,2.1526445e-07,0.011903028,0.032703106,1.6520732e-06,1.6068605e-06,1.203409e-06,1.567504e-12,0.0010079355,0.0003020644,5.2320629e-07,0,8.386816e-10,-0.057611681,0.0065168656,0.0089935296,-0.0030377909,0.020883933,8.0267167,0,0,-15.986889,0,0,22.771621,0,0,-24.455368,0,0,23.756792,0,0
-0.000451396,-0.131049,-0.184252,0.00177123,-0.00141652,0.0008621,1.257e-05,-0.021948,-0.003412,0.0004859,-0.0001489,-0.0002349,2.0375835e-07,0.01717384,0.0339488,3.1372557e-06,2.0065289e-06,7.4321641e-07,1.580049e-10,0.0004817147,1.1641744e-05,2.3609881e-07,2.217121e-08,5.517801e-08,0.011224094,0.005874416,0.0088406224,0.023414669,-0.015065172,35.646218,0,0,-46.531439,0,0,44.872643,0,0,-31.42687,0,0,20.803266,0,0
-0.0090811,-0.14092,-0.180046,0.00222347,-0.00126762,0.000536628,-0.008629704,-0.009871,0.004206,0.00045224,0.0001489,-0.000325472,8.2466377e-05,0.019858446,0.032416562,4.9438188e-06,1.6068605e-06,2.8796961e-07,7.4471791e-05,9.7436641e-05,1.7690436e-05,2.0452102e-07,2.217121e-08,1.0593202e-07,0.064615277,0.0004793684,-0.024121934,0.067143738,-0.034184697,75.67187,0,0,-56.365318,0,0,32.609345,0,0,-10.80615,0,0,14.182407,0,0
-0.000226854,-0.0976778,-0.221991,0.0020486,-0.000737816,0.000637093,0.008854246,0.0432422,-0.041945,-0.00017487,0.000529804,0.000100465,5.1462737e-08,0.0095409526,0.049280004,4.196762e-06,5.4437245e-07,4.0588749e-07,7.8397672e-05,0.0018698879,0.001759383,3.0579517e-08,2.8069228e-07,1.0093216e-08,0.052537965,0.0054003323,0.011152502,0.034094133,-0.027523262,108.81782,0,0,-29.662492,0,0,19.656091,0,0,-20.011735,0,0,32.98514,0,0
0.019927,-0.10963,-0.238799,0.00157868,-0.000520844,0.000440934,0.020153854,-0.0119522,-0.016808,-0.00046992,0.000216972,-0.000196159,0.00039708533,0.012018737,0.057024962,2.4922305e-06,2.7127847e-07,1.9442279e-07,0.00040617783,0.00014285508,0.00028250886,2.2082481e-07,4.7076849e-08,3.8478353e-08,0.039664164,0.025081325,0.029636768,0.0046502789,0.0009976358,123.57823,0,0,4.580444,0,0,45.727178,0,0,-27.022416,0,0,21.330641,0,0
0.0170484,-0.119056,-0.243795,0.00280427,-0.000441617,0.000399084,-0.0028786,-0.009426,-0.004996,0.00122559,7.9227e-05,-4.185e-05,0.00029064794,0.014174331,0.059436002,7.8639302e-06,1.9502557e-07,1.5926804e-07,8.286338e-06,8.8849476e-05,2.4960016e-05,1.5020708e-06,6.2769175e-09,1.7514225e-09,-0.024046464,-0.026307066,0.082390019,-0.092357126,0.068234502,123.83761,0,0,19.263492,0,0,77.170796,0,0,3.3965724,0,0,26.995908,0,0
0.0216598,-0.141313,-0.25284,0.0031511,-0.000307346,0.000445629,0.0046114,-0.022257,-0.009045,0.00034683,0.000134271,4.6545e-05,0.00046914694,0.019969364,0.063928066,9.9294312e-06,9.4461564e-08,1.9858521e-07,2.126501e-05,0.00049537405,8.1812025e-05,1.2029105e-07,1.8028701e-08,2.166437e-09,0.0062481313,0.043703377,0.071265451,-0.0079256374,0.05774761,120.1169,0,0,19.264761,0,0,87.359357,0,0,28.093393,0,0,58.74355,0,0
0.0238515,-0.0956041,-0.237381,0.00242229,-0.000121628,0.000445628,0.0021917,0.0457089,0.015459,-0.00072881,0.000185718,-1e-09,0.00056889405,0.0091401439,0.056349739,5.8674888e-06,1.479337e-08,1.9858431e-07,4.8035489e-06,0.0020893035,0.00023898068,5.3116402e-07,3.4491176e-08,1e-18,0.017618505,0.087547095,0.076449807,-0.032748966,0.031254271,117.32428,0.3363319,0,17.141225,-0.97995338,0,83.676309,1.8664935,0,36.948335,-2.4948258,0,78.558444,3.0341856,0
0.0203472,-0.10366,-0.254712,0.00254108,7.43207e-05,0.000342543,-0.0035043,-0.0080559,-0.017331,0.00011879,0.0001959487,-0.000103085,0.00041400855,0.010745396,0.064878203,6.4570876e-06,5.5235664e-09,1.1733571e-07,1.2280118e-05,6.4897525e-05,0.00030036356,1.4111064e-08,3.8395893e-08,1.0626517e-08,0.036804924,0.0025999914,0.04885333,0.033060682,-0.0054213802,108.76135,7.6903848,0.3363319,30.376245,-15.006936,-0.97995338,59.877961,20.905128,1.8664935,57.933023,-21.960542,-2.4948258,65.638584,20.722606,3.0341856
-0.00532721,-0.156323,-0.250737,0.00315428,0.00033918,-0.000354469,-0.02567441,-0.052663,0.003975,0.0006132,0.0002648593,-0.000697012,2.8379166e-05,0.02443688,0.062869043,9.9494823e-06,1.1504307e-07,1.2564827e-07,0.00065917533,0.0027733916,1.5800625e-05,3.7601424e-07,7.0150449e-08,4.8582573e-07,0.063759825,0.061861405,0.053574129,0.034535615,-0.0087892606,80.959628,27.619502,7.6903848,60.421968,-30.544549,-15.006936,36.666862,22.101022,20.905128,63.803235,-6.971502,-21.960542,69.627005,-2.9535262,20.722606
0.0173722,-0.139067,-0.280622,0.00333359,0.00033918,-0.000346039,0.02269941,0.017256,-0.029885,0.00017931,0,8.43e-06,0.00030179333,0.01933963,0.078748707,1.1112822e-05,1.1504307e-07,1.1974299e-07,0.00051526321,0.00029776954,0.00089311322,3.2152076e-08,0,7.10649e-11,0.065168323,0.053343936,0.054622267,0.026589541,0.0081084038,40.928501,40.025651,27.619502,70.238375,-9.8338796,-30.544549,48.885453,-12.263298,22.101022,43.127014,20.620719,-6.971502,76.255341,-6.6208587,-2.9535262
0.00015907,-0.0983242,-0.251718,0.00259189,-6.31661e-05,-0.000246551,-0.01721313,0.0407428,0.028904,-0.0007417,-0.0004023461,9.9488e-05,2.5303265e-08,0.0096676483,0.063361952,6.7178938e-06,3.9899562e-09,6.0787396e-08,0.00029629184,0.0016599758,0.00083544122,5.5011889e-07,1.6188238e-07,9.8978621e-09,0.059320687,0.038964718,0.028763479,0.088808094,-0.051062134,7.7825467,33.145954,40.025651,43.535548,26.702826,-9.8338796,61.838707,-12.953254,-12.263298,52.332599,-9.2055843,20.620719,57.452607,18.802733,-6.6208587
0.0172258,-0.144885,-0.210251,0.00279675,-6.17023e-05,-0.000353098,0.01706673,-0.0465608,0.041467,0.00020486,1.4638e-06,-0.000106547,0.00029672819,0.020991663,0.044205483,7.8218106e-06,3.8071738e-09,1.246782e-07,0.00029127327,0.0021679081,0.0017195121,4.196762e-08,2.1427104e-12,1.1352263e-08,0.050715279,-0.051684203,0.027656639,0.10092665,-0.036459914,-6.9778604,14.760407,33.145954,9.2926121,34.242936,26.702826,35.76762,26.071087,-12.953254,59.343279,-7.0106809,-9.2055843,69.107106,-11.654499,18.802733
-0.000290763,-0.404566,-0.576617,0.0113094,-0.00073987,-1.33187e-05,-0.017516563,-0.259681,-0.366366,0.00851265,-0.0006781677,0.0003397793,8.4543122e-08,0.16367365,0.33248716,0.00012790253,5.4740762e-07,1.7738777e-10,0.00030682998,0.067434222,0.13422405,7.246521e-05,4.5991143e-07,1.1544997e-07,-0.18728145,0.27163316,0.20426699,0.094214945,0.17452986,-7.2372391,0.25937865,14.760407,-5.3904359,14.683048,34.242936,4.3240022,31.443618,26.071087,28.924291,30.418988,-7.0106809,63.44184,5.6652664,-11.654499
-0.000283516,0.00952949,-0.0381364,-0.000434023,-0.000232371,-1.33187e-05,7.247e-06,0.41409549,0.5384806,-0.011743423,0.000507499,0,8.0381322e-08,9.081118e-05,0.001454385,1.8837596e-07,5.3996282e-08,1.7738777e-10,5.2519009e-11,0.17147507,0.28996136,0.00013790798,2.5755524e-07,0,-0.10668956,-0.29495781,-0.023831164,-0.14578736,0.062620908,-3.5165271,-3.720712,0.25937865,-5.3917047,0.001268743,14.683048,-5.864559,10.188561,31.443618,4.2274712,24.69682,30.418988,31.694197,31.747643,5.6652664
0.00346879,-0.084901,-0.0551651,0.000532997,-0.000292211,4.6308e-05,0.003752306,-0.09443049,-0.0170287,0.00096702,-5.984e-05,5.96267e-05,1.2032504e-05,0.0072081798,0.0030431883,2.840858e-07,8.5387269e-08,2.1444309e-09,1.40798e-05,0.0089171174,0.00028997662,9.3512768e-07,3.5808256e-09,3.5553434e-09,0.092656452,-0.088456619,-0.044912325,0.020099747,0.0031627096,-1.0602419,-2.4562852,-3.720712,-2.2882157,-3.103489,0.001268743,-4.0480049,-1.8165541,10.188561,-2.1326453,6.3601165,24.69682,8.8451177,22.849079,31.747643
-0.0111799,-0.0182016,-0.0383635,0.000399136,-0.000483627,-1.33187e-05,-0.01464869,0.0666994,0.0168016,-0.000133861,-0.000191416,-5.96267e-05,0.00012499016,0.00033129824,0.0014717581,1.5930955e-07,2.3389508e-07,1.7738777e-10,0.00021458412,0.00444881,0.00028229376,1.7918767e-08,3.6640085e-08,3.5553434e-09,0.08854861,-0.01565797,-0.086205672,0.026492482,-0.029279017,0.14863389,-0.8725439,-2.4562852,-1.4962531,-1.771916,-3.103489,0.71170926,-2.8932206,-1.8165541,-3.651617,-0.97585403,6.3601165,4.0765574,7.8027459,22.849079
-0.000411002,-0.067101,-0.0383559,0.000378893,-0.000483627,-1.33187e-05,0.010768898,-0.0488994,7.6e-06,-2.0243e-05,0,0,1.6892264e-07,0.0045025442,0.0014711751,1.4355991e-07,2.3389508e-07,1.7738777e-10,0.00011596916,0.0023911513,5.776e-11,4.0977905e-10,0,0,0.10289694,0.03451859,-0.067969022,0.018929849,-0.019222976,8.021241,-0.18222231,-0.8725439,-16.004363,-0.49882636,-1.771916,22.726914,-1.1100766,-2.8932206,-24.510869,-1.1012903,-0.97585403,23.764269,1.0348944,7.8027459
-0.000411003,-0.00252787,-0.0148512,-0.000180799,-0.000483627,-1.33187e-05,-1e-09,0.06457313,0.0235047,-0.000559692,0,0,1.6892347e-07,6.3901267e-06,0.00022055814,3.2688278e-08,2.3389508e-07,1.7738777e-10,1e-18,0.0041696891,0.00055247092,3.1325513e-07,0,0,0.02766016,-0.067971963,-0.085915746,-0.038953703,-0.0085964817,35.646218,-0.0054756973,-0.18222231,-46.531439,-0.017473317,-0.49882636,44.872643,-0.044707646,-1.1100766,-31.42687,-0.055500918,-1.1012903,20.803266,0.0074774136,1.0348944
-0.0164459,-0.0660811,-0.00750326,0.000783512,2.59344e-06,-0.000329596,-0.016034897,-0.06355323,0.00734794,0.000964311,0.00048622044,-0.0003162773,0.00027046763,0.0043667118,5.6298911e-05,6.1389105e-07,6.725931e-12,1.0863352e-07,0.00025711792,0.004039013,5.3992222e-05,9.298957e-07,2.3641032e-07,1.0003133e-07,0.065338797,-0.029240214,-0.078909413,0.0044176814,-0.03624203,75.67187,0,-0.0054756973,-56.365318,0,-0.017473317,32.609345,0,-0.044707646,-10.80615,0,-0.055500918,14.182407,0,0.0074774136
0.0211735,0.00875897,0.0333679,0.000279122,0.00102183,-1.33187e-05,0.0376194,0.07484007,0.04087116,-0.00050439,0.0010192366,0.0003162773,0.0004483171,7.6719555e-05,0.0011134168,7.7909091e-08,1.0441365e-06,1.7738777e-10,0.0014152193,0.0056010361,0.0016704517,2.5440927e-07,1.0388432e-06,1.0003133e-07,0.064843177,-0.030063134,-0.089619225,-0.017723517,-0.020457053,108.48149,0.3363319,0.3363319,-28.682539,-0.97995338,-0.97995338,17.789597,1.8664935,1.8664935,-17.516909,-2.4948258,-2.4948258,29.950955,3.0341856,3.0341856
0.0640753,-0.0227338,0.00913301,0.000801613,0.00118284,0.000467212,0.0429018,-0.03149277,-0.02423489,0.000522491,0.00016101,0.0004805307,0.0041056441,0.00051682566,8.3411872e-05,6.425834e-07,1.3991105e-06,2.1828705e-07,0.0018405644,0.00099179456,0.00058732989,2.7299685e-07,2.592422e-08,2.3090975e-07,0.043804011,-0.04413506,-0.082642302,-0.058066263,-0.044843716,115.55151,7.6903848,8.0267167,20.567333,-15.006936,-15.986889,22.955556,20.905128,22.771621,-2.5670477,-21.960542,-24.455368,-2.4261506,20.722606,23.756792
0.0476672,-0.0609379,0.0158879,0.00140361,0.00164287,0.000395571,-0.0164081,-0.0382041,0.00675489,0.000601997,0.00046003,-7.1641e-05,0.002272162,0.0037134277,0.00025242537,1.970121e-06,2.6990218e-06,1.5647642e-07,0.00026922575,0.0014595533,4.5628539e-05,3.6240039e-07,2.116276e-07,5.1324329e-09,0.049322619,0.0061806918,-0.07770839,-0.014123004,-0.026843933,88.191391,27.619502,35.309886,65.794931,-30.544549,-45.551485,32.298153,22.101022,43.00615,34.823442,-6.971502,-28.932044,6.1926421,-2.9535262,17.76908
0.0476599,-0.0282955,0.00923744,0.000868449,0.00147873,5.7765e-05,-7.3e-06,0.0326424,-0.00665046,-0.000535161,-0.00016414,-0.000337806,0.0022714661,0.00080063532,8.5330298e-05,7.5420367e-07,2.1866424e-06,3.3367952e-09,5.329e-11,0.0010655263,4.4228618e-05,2.863973e-07,2.694194e-08,1.1411289e-07,0.043634069,-0.014256725,-0.082874106,-0.049551665,-0.034313671,44.445028,40.025651,67.645153,75.630079,-9.8338796,-40.378429,54.750012,-12.263298,9.8377235,38.899543,20.620719,13.649217,44.561144,-6.6208587,-9.5743849
0.0476548,0.026721,0.0468094,0.000184174,0.00145515,0.000395571,-5.1e-06,0.0550165,0.03757196,-0.000684275,-2.358e-05,0.000337806,0.00227098,0.00071401184,0.0021911199,3.3920062e-08,2.1174615e-06,1.5647642e-07,2.601e-11,0.0030268153,0.0014116522,4.6823228e-07,5.560164e-10,1.1411289e-07,0.032262407,0.015967769,-0.087445473,-0.10081738,-0.0095617283,8.8427886,33.145954,73.171605,45.823764,26.702826,16.868947,65.886712,-12.953254,-25.216553,54.465244,-9.2055843,11.415135,48.60749,18.802733,12.181875
