trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,trans_x_der,trans_y_der,trans_z_der,rot_x_der,rot_y_der,rot_z_der,trans_x_2,trans_y_2,trans_z_2,rot_x_2,rot_y_2,rot_z_2,trans_x_der_2,trans_y_der_2,trans_z_der_2,rot_x_der_2,rot_y_der_2,rot_z_der_2,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,initdum_1.0,initdum_2.0
-6.94626e-06,-0.060276,-0.0301714,0.000348129,-0.00018667,0,0,0,0,0,0,0,4.8250528e-11,0.0036331962,0.00091031338,1.211938e-07,3.4845689e-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0.0640922,0.0275116,-0.000109374,-0,0,6.94626e-06,0.1243682,0.057683,-0.000457503,0.00018667,0,0,0.0041078101,0.00075688813,1.1962672e-08,0,0,4.8250528e-11,0.015467449,0.0033273285,2.09309e-07,3.4845689e-08,0,0,0,0,0,0,0,1
-0.0131497,-0.0629438,0.102857,-8.13594e-05,-0.000163646,-0.000399737,-0.0131497,-0.127036,0.0753454,2.80146e-05,-0.000163646,-0.000399737,0.00017291461,0.003961922,0.010579562,6.619352e-09,2.6780013e-08,1.5978967e-07,0.00017291461,0.016138145,0.0056769293,7.8481781e-10,2.6780013e-08,1.5978967e-07,0.010624542,0.058327024,-0.039420254,0.013936362,-0.16876794,0,0
3.98815e-05,0.061183,0.14588,-0.00119959,-0.000458166,-0.000367193,0.013189582,0.1241268,0.043023,-0.0011182306,-0.00029452,3.2544e-05,1.590534e-09,0.0037433595,0.021280974,1.4390162e-06,2.0991608e-07,1.348307e-07,0.00017396506,0.015407462,0.0018509785,1.2504397e-06,8.674203e-08,1.0591119e-09,0.065790141,0.034187823,0.049601025,-0.01298908,-0.0015940303,0,0
2.75033e-05,-0.0449959,0.159741,-0.00114013,-0.000458166,-0.000483098,-1.23782e-05,-0.1061789,0.013861,5.946e-05,0,-0.000115905,7.5643151e-10,0.002024631,0.025517187,1.2998964e-06,2.0991608e-07,2.3338368e-07,1.5321984e-10,0.011273959,0.00019212732,3.5354916e-09,0,1.3433969e-08,0.047602511,0.0035753109,-0.032172804,0.11448647,-0.078667722,0,0
2.75032e-05,0.0573704,0.175446,-0.00143521,-0.000458166,-0.000483098,-1e-10,0.1023663,0.015705,-0.00029508,0,0,7.5642601e-10,0.0032913628,0.030781299,2.0598277e-06,2.0991608e-07,2.3338368e-07,1e-20,0.010478859,0.00024664702,8.7072206e-08,0,0,-0.026632269,0.078713536,0.032689043,0.046464299,-0.081660566,0,0
-0.0174013,-0.0385928,0.184525,-0.00130232,-1.69209e-05,-0.000483098,-0.017428803,-0.0959632,0.009079,0.00013289,0.0004412451,0,0.00030280524,0.0014894042,0.034049476,1.6960374e-06,2.8631686e-10,2.3338368e-07,0.00030376318,0.0092089358,8.2428241e-05,1.7659752e-08,1.9469724e-07,0,-0.0005811064,-0.072134743,-0.033122602,0.0095507521,0.027344811,0,0
-0.00805381,0.0499778,0.203114,-0.00152131,-0.000458166,-0.000605187,0.00934749,0.0885706,0.018589,-0.00021899,-0.0004412451,-0.000122089,6.4863856e-05,0.0024977805,0.041255297,2.3143841e-06,2.0991608e-07,3.662513e-07,8.7375569e-05,0.0078447512,0.00034555092,4.795662e-08,1.9469724e-07,1.4905724e-08,0.026989264,-0.014638457,0.028066108,0.006870741,0.038647169,0,0
-0.0193404,-0.0183616,0.185988,-0.00180721,-0.000458166,-0.000483098,-0.01128659,-0.0683394,-0.017126,-0.0002859,0,0.000122089,0.00037405107,0.00033714835,0.034591536,3.266008e-06,2.0991608e-07,2.3338368e-07,0.00012738711,0.0046702736,0.00029329988,8.173881e-08,0,1.4905724e-08,0.022197417,-0.044859125,-0.011353942,0.098571048,-0.10742492,0,0
-0.0116162,0.0740326,0.199973,-0.00225608,-0.000458166,-0.000483098,0.0077242,0.0923942,0.013985,-0.00044887,0,0,0.0001349361,0.0054808259,0.039989201,5.089897e-06,2.0991608e-07,2.3338368e-07,5.9663266e-05,0.0085366882,0.00019558023,2.0148428e-07,0,0,-0.093757563,-0.010900919,-0.0080796955,-0.094617566,0.015781851,0,0
2.75005e-05,-0.0407008,0.204373,-0.00165717,-0.000458166,-0.000483098,0.0116437,-0.1147334,0.0044,0.00059891,0,0,7.562775e-10,0.0016565551,0.041768323,2.7462124e-06,2.0991608e-07,2.3338368e-07,0.00013557576,0.013163753,1.936e-05,3.5869319e-07,0,0,-0.059852802,0.058748306,-0.036791747,0.13630453,0.097315352,0,0
-0.0123303,0.0872267,0.18603,-0.00170202,0.000151713,-0.000483098,-0.012357801,0.1279275,-0.018343,-4.485e-05,0.000609879,0,0.0001520363,0.0076084972,0.034607161,2.8968721e-06,2.3016834e-08,2.3338368e-07,0.00015271523,0.016365445,0.00033646565,2.0115225e-09,3.7195239e-07,0,-0.026633348,0.19406062,0.10270039,-0.043043589,0.02002408,0,0
-0.010579,-0.0726236,0.156847,-0.000311124,-0.000458166,-0.000483098,0.0017513,-0.1598503,-0.029183,0.001390896,-0.000609879,0,0.00011191524,0.0052741873,0.024600981,9.6798143e-08,2.0991608e-07,2.3338368e-07,3.0670517e-06,0.025552118,0.00085164749,1.9345917e-06,3.7195239e-07,0,0.040123741,0.06459959,-0.083689049,0.063315315,0.049474286,0,0
-0.0129699,-0.00766254,0.177594,-0.0012534,-0.000670161,-0.000483098,-0.0023909,0.06496106,0.020747,-0.000942276,-0.000211995,0,0.00016821831,5.8714519e-05,0.031539629,1.5710116e-06,4.4911577e-07,2.3338368e-07,5.7164028e-06,0.0042199393,0.00043043801,8.8788406e-07,4.494188e-08,0,0.017534558,0.098008048,0.086136016,-0.0021248141,-0.13253394,0,0
-0.00879295,0.0460875,0.197487,-0.00100887,-0.000430271,-0.000483098,0.00417695,0.05375004,0.019893,0.00024453,0.00023989,0,7.731597e-05,0.0021240577,0.039001115,1.0178187e-06,1.8513313e-07,2.3338368e-07,1.7446911e-05,0.0028890668,0.00039573145,5.9794921e-08,5.7547212e-08,0,0.09177286,0.020227719,0.067329067,-0.0084994356,0.022993637,0,0
-0.0254988,-0.0423931,0.214742,-0.0012219,-0.000604326,-0.000574503,-0.01670585,-0.0884806,0.017255,-0.00021303,-0.000174055,-9.1405e-05,0.0006501888,0.0017971749,0.046114127,1.4930396e-06,3.6520991e-07,3.300537e-07,0.00027908542,0.0078288166,0.00029773502,4.5381781e-08,3.0295143e-08,8.354874e-09,0.0057952171,-0.03802924,0.0009483799,0.051186904,-0.17407149,0,0
-4.0681e-05,0.083128,0.220619,-0.0016215,-0.000263699,-0.000483098,0.025458119,0.1255211,0.005877,-0.0003996,0.000340627,9.1405e-05,1.6549438e-09,0.0069102644,0.048672743,2.6292622e-06,6.9537163e-08,2.3338368e-07,0.00064811582,0.015755547,3.4539129e-05,1.5968016e-07,1.1602675e-07,8.354874e-09,0.031824493,-0.059698874,0.011694818,-0.045426298,0.080437231,0,0
-0.0272492,-0.0333815,0.227349,-0.000996997,-0.000668488,-0.000578179,-0.027208519,-0.1165095,0.00673,0.000624503,-0.000404789,-9.5081e-05,0.0007425189,0.0011143245,0.051687568,9.9400302e-07,4.4687621e-07,3.3429096e-07,0.00074030351,0.013574464,4.52929e-05,3.90004e-07,1.6385413e-07,9.0403966e-09,-0.029227346,-0.03115837,-0.040933382,0.087494436,-0.029668027,0,0
-0.0154786,0.11322,0.221922,-0.00182934,-0.000449892,-0.000941909,0.0117706,0.1466015,-0.005427,-0.000832343,0.000218596,-0.00036373,0.00023958706,0.012818768,0.049249374,3.3464848e-06,2.0240281e-07,8.8719256e-07,0.00013854702,0.021492,2.9452329e-05,6.9279487e-07,4.7784211e-08,1.3229951e-07,-0.048377725,-0.029728611,8.85581e-05,-0.14032761,0.053608398,0,0
-0.0184792,-0.055183,0.216003,-0.00118168,-0.000590787,-0.000686514,-0.0030006,-0.168403,-0.005919,0.00064766,-0.000140895,0.000255395,0.00034148083,0.0030451635,0.046657296,1.3963676e-06,3.4902928e-07,4.7130147e-07,9.0036004e-06,0.02835957,3.5034561e-05,4.1946348e-07,1.9851401e-08,6.5226606e-08,0.046331221,-0.033885669,-0.062085667,0.077976758,0.082723653,0,0
