Subject,Accuracy
sub-M87100268,0.6
sub-M87102217,0.666666666666667
sub-M87102806,0.566666666666667
sub-M87103074,0.666666666666667
sub-M87107085,0.566666666666667
sub-M87113162,0.6
sub-M87114064,0.5
sub-M87115498,0.633333333333333
sub-M87115517,0.566666666666667
sub-M87117119,0.466666666666667
sub-M87117167,0.733333333333333
sub-M87120962,0.5
sub-M87121943,0.633333333333333
sub-M87122092,0.533333333333333
sub-M87124633,0.533333333333333
sub-M87124781,0.533333333333333
sub-M87124827,0.4
sub-M87125134,0.266666666666667
sub-M87128444,0.666666666666667
sub-M87128856,0.566666666666667
sub-M87129294,0.466666666666667
sub-M87129719,0.7
sub-M87131454,0.733333333333333
sub-M87131806,0.733333333333333
sub-M87134068,0.666666666666667
sub-M87136332,0.7
sub-M87136832,0.633333333333333
sub-M87141220,0.7
sub-M87141664,0.566666666666667
sub-M87141793,0.633333333333333
sub-M87141858,0.3
sub-M87144889,0.566666666666667
sub-M87144896,0.733333333333333
sub-M87145479,0.633333333333333
sub-M87145575,0.166666666666667
sub-M87146520,0.666666666666667
sub-M87146993,0.5
sub-M87148745,0.6
sub-M87149014,0.4
sub-M87149025,0.333333333333333
sub-M87150133,0.633333333333333
sub-M87150415,0.5
sub-M87151117,0.833333333333333
sub-M87151453,0.633333333333333
sub-M87152844,0.4
sub-M87153569,0.3
sub-M87154559,0.5
sub-M87155496,0.666666666666667
sub-M87155949,0.566666666666667
sub-M87156106,0.8
sub-M87157827,0.566666666666667
sub-M87158338,0.633333333333333
sub-M87158534,0.666666666666667
sub-M87159410,0.533333333333333
sub-M87159580,0.333333333333333
sub-M87160332,0.633333333333333
sub-M87160375,0.6
sub-M87161235,0.566666666666667
sub-M87162915,0.7
sub-M87164412,0.7
sub-M87164886,0.6
sub-M87165017,0.4
sub-M87165441,0.666666666666667
sub-M87165975,0.633333333333333
sub-M87168759,0.7
sub-M87172157,0.266666666666667
sub-M87174803,0.466666666666667
sub-M87176019,0.6
sub-M87176708,0.466666666666667
sub-M87176997,0.766666666666667
sub-M87179511,0.6
sub-M87179713,0.566666666666667
sub-M87181216,0.466666666666667
sub-M87183189,0.666666666666667
sub-M87183485,0.766666666666667
sub-M87186642,0.433333333333333
sub-M87187090,0.733333333333333
sub-M87187750,0.433333333333333
sub-M87187984,0.666666666666667
sub-M87188762,0.7
sub-M87190609,0.566666666666667
sub-M87190745,0.433333333333333
sub-M87192333,0.666666666666667
sub-M87192557,0.333333333333333
sub-M87193409,0.766666666666667
sub-M87196363,0.8
sub-M87197010,0.5
sub-M87199728,0.766666666666667
