URSI,DominantHand
M87100268,1
M87102217,1
M87102806,0
M87103074,1
M87105476,1
M87107085,1
M87108094,1
M87111487,1
M87111924,1
M87114047,1
M87114064,1
M87114708,0
M87115498,1
M87115517,1
M87117119,1
M87117167,1
M87120962,1
M87121943,1
M87121956,1
M87122092,1
M87122904,1
M87123042,1
M87123449,1
M87123913,0
M87124633,1
M87124781,1
M87124827,1
M87125134,1
M87128444,1
M87128856,1
M87129294,1
M87129719,1
M87129789,1
M87131454,1
M87131806,1
M87134068,1
M87135647,1
M87136332,1
M87136832,1
M87139021,1
M87139257,1
M87140536,1
M87141220,1
M87141664,1
M87141793,1
M87141858,1
M87141906,1
M87141949,1
M87142764,1
M87143273,1
M87144889,1
M87144896,1
M87145114,1
M87145479,1
M87145575,1
M87146520,1
M87146993,0
M87147006,1
M87148745,1
M87149014,1
M87149025,1
M87150194,1
M87150415,0
M87150639,1
M87151117,1
M87151146,1
M87151453,1
M87152844,1
M87153569,1
M87154559,0
M87155496,0
M87155949,1
M87156106,1
M87157827,1
M87158338,1
M87158534,1
M87159410,0
M87159580,1
M87160332,1
M87160375,1
M87161235,0
M87161902,1
M87162915,1
M87163821,1
M87164412,0
M87164886,1
M87165017,1
M87165441,1
M87165975,1
M87166115,1
M87168759,1
M87172157,1
M87174803,1
M87176019,0
M87176708,1
M87176997,1
M87178124,1
M87178630,0
M87179511,1
M87179597,1
M87179713,1
M87181205,1
M87181216,1
M87182922,1
M87183189,1
M87183485,1
M87184910,1
M87185000,1
M87186642,1
M87187090,1
M87187304,1
M87187750,1
M87187984,1
M87188000,1
M87188762,0
M87190609,1
M87190745,1
M87191087,0
M87191258,1
M87192333,0
M87192557,0
M87192995,1
M87193409,1
M87196363,1
M87196591,1
M87197010,1
M87199297,1
M87199728,1
